prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,1.8094,1.4505,34.4044,0.8961,base,the_black_chair_is_on_the_right_of_the_silver_desk,the black chair is on the right of the silver desk,the_black_chair_is_on_the_right_of_the_silver_desk
The_black_chair_was_next_to_the_silver_table,The black chair was next to the silver table,1.8019,1.6676,32.3593,0.9265,base,the_black_chair_was_next_to_the_silver_table,the black chair was next to the silver table,the_black_chair_was_next_to_the_silver_table
The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.866,1.7766,32.1229,0.8802,base,the_black_chair_was_on_the_left_of_the_brown_table,the black chair was on the left of the brown table,the_black_chair_was_on_the_left_of_the_brown_table
The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1.8942,1.7561,36.7571,0.689,base,the_black_phone_was_resting_on_the_brown_charger,the black phone was resting on the brown charger,the_black_phone_was_resting_on_the_brown_charger
The_brown_cat_was_lying_on_the_blue_blanket,The brown cat was lying on the blue blanket,1.4793,1.6301,37.238,0.9369,base,the_brown_cat_was_lying_on_the_blue_blanket,the brown cat was lying on the blue blanket,the_brown_cat_was_lying_on_the_blue_blanket
The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.8615,1.7654,38.9874,0.8923,base,the_brown_dog_is_lying_on_the_blue_pillow,the brown dog is lying on the blue pillow,the_brown_dog_is_lying_on_the_blue_pillow
The_brown_dog_was_lying_on_the_green_bed,The brown dog was lying on the green bed,2.2156,1.6001,36.3977,0.9228,base,the_brown_dog_was_lying_on_the_green_bed,the brown dog was lying on the green bed,the_brown_dog_was_lying_on_the_green_bed
The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,2.2566,1.4444,35.1801,0.6876,base,the_green_plant_was_on_the_right_the_white_wall,the green plant was on the right the white wall,the_green_plant_was_on_the_right_the_white_wall
The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,1.9585,1.3982,36.7351,0.6869,base,the_green_plant_was_on_top_of_the_brown_nightstand,the green plant was on top of the brown nightstand,the_green_plant_was_on_top_of_the_brown_nightstand
The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,1.8139,1.2235,37.7578,0.7788,base,the_green_plant_was_on_top_of_the_white_dresser,the green plant was on top of the white dresser,the_green_plant_was_on_top_of_the_white_dresser
The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,1.8609,1.3802,33.9879,0.7636,base,the_rectangular_mirror_was_hung_above_the_black_sink,the rectangular mirror was hung above the black sink,the_rectangular_mirror_was_hung_above_the_black_sink
The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,1.9577,1.2831,36.7234,0.7888,base,the_rectangular_mirror_was_hung_above_the_blue_sink,the rectangular mirror was hung above the blue sink,the_rectangular_mirror_was_hung_above_the_blue_sink
The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,2.0059,1.284,31.933,0.7464,base,the_rectangular_painting_was_hung_above_the_silver_couch,the rectangular painting was hung above the silver couch,the_rectangular_painting_was_hung_above_the_silver_couch
The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,1.4111,1.5964,39.2806,0.668,base,the_red_apple_was_on_top_of_the_black_plate,the red apple was on top of the black plate,the_red_apple_was_on_top_of_the_black_plate
The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate,1.3726,1.5588,37.535,0.6748,base,the_red_apple_was_on_top_of_the_white_plate,the red apple was on top of the white plate,the_red_apple_was_on_top_of_the_white_plate
The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,1.9605,1.5916,39.2652,0.8255,base,the_red_hat_was_on_top_of_the_white_coat,the red hat was on top of the white coat,the_red_hat_was_on_top_of_the_white_coat
The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,1.5849,1.498,41.345,0.6696,base,the_red_mug_was_on_top_of_the_green_coaster,the red mug was on top of the green coaster,the_red_mug_was_on_top_of_the_green_coaster
The_red_umbrella_was_on_top_of_the_white_coat_rack,The red umbrella was on top of the white coat rack,1.874,1.4286,39.1074,0.8397,base,the_red_umbrella_was_on_top_of_the_white_coat_rack,the red umbrella was on top of the white coat rack,the_red_umbrella_was_on_top_of_the_white_coat_rack
The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,1.8713,2.3924,34.1001,0.8237,base,the_silver_laptop_was_on_top_of_the_black_desk,the silver laptop was on top of the black desk,the_silver_laptop_was_on_top_of_the_black_desk
The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,1.8777,1.6954,39.9715,0.9234,base,the_wooden_spoon_was_next_to_the_green_bowl,the wooden spoon was next to the green bowl,the_wooden_spoon_was_next_to_the_green_bowl
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.6235,1.3904,39.4445,0.8087,base,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.8647,1.6143,41.9611,0.9029,base,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,2.0755,1.6697,31.5999,0.9589,base,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,a_bag_on_the_bottom_of_a_chicken
a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,1.943,1.5223,32.6672,0.8992,base,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,a_bag_on_the_right_of_a_butterfly
a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,1.5866,1.2786,36.1926,0.5411,base,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,a_bee_on_the_top_of_a_airplane
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.8491,1.2912,38.8087,0.6945,base,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1.8478,1.3418,42.0682,0.8509,base,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,a_bicycle_on_the_top_of_a_chicken
a_blue_bench_and_a_green_car,a blue bench and a green car,2.081,1.8252,37.4392,0.9327,base,a_blue_bench_and_a_green_car,a blue bench and a green car,a_blue_bench_and_a_green_car
a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,2.3006,1.7099,39.8825,0.9202,base,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,a_blue_dog_and_a_brown_horse
