prompt_key,prompt_folder,prompt_text,vendi_inception__apg,vendi_inception__base,vendi_inception__cads,vendi_inception__dpp,vendi_inception__mix,vendi_inception__ourmethod,vendi_inception__pg,vendi_pixel__apg,vendi_pixel__base,vendi_pixel__cads,vendi_pixel__dpp,vendi_pixel__mix,vendi_pixel__ourmethod,vendi_pixel__pg,clip_score__apg,clip_score__base,clip_score__cads,clip_score__dpp,clip_score__mix,clip_score__ourmethod,clip_score__pg,one_minus_ms_ssim__apg,one_minus_ms_ssim__base,one_minus_ms_ssim__cads,one_minus_ms_ssim__dpp,one_minus_ms_ssim__mix,one_minus_ms_ssim__ourmethod,one_minus_ms_ssim__pg
a_airplane_on_the_left_of_a_turtle,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,1.617,1.6235,1.647,1.5384,1.8878,1.7323,1.6353,1.3903,1.3904,1.395,1.4191,1.476,1.3907,1.3501,39.4334,39.4445,39.2667,39.9202,37.9519,40.2747,39.3711,0.8085,0.8087,0.807,0.8353,0.9199,0.8641,0.8094
a_backpack_on_the_right_of_a_bird,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,1.8615,1.8647,1.9217,1.6952,2.3539,2.0606,1.7688,1.6149,1.6143,1.6133,1.7749,1.8228,1.5959,1.5443,42.1324,41.9611,42.0302,42.976,38.7028,41.2003,42.2893,0.9029,0.9029,0.9019,0.8875,0.928,0.9026,0.889
a_bag_on_the_bottom_of_a_chicken,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,2.0762,2.0755,2.1518,2.3233,2.2314,2.0696,2.0894,1.67,1.6697,1.6804,1.578,1.7715,1.6824,1.5995,31.6429,31.5999,31.7906,31.9286,26.4853,31.7003,31.767,0.9589,0.9589,0.9569,0.8876,0.9626,0.9681,0.9458
a_bag_on_the_right_of_a_butterfly,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,1.9701,1.943,1.4898,2.2994,1.8518,2.2503,2.2272,1.5226,1.5223,1.5588,1.6927,1.6443,1.5862,1.4601,32.7186,32.6672,32.4825,35.3915,28.3316,34.6025,34.1732,0.8991,0.8992,0.8918,0.8876,0.9542,0.8712,0.8765
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,1.5898,1.5866,1.724,1.7462,1.5778,1.6704,1.5616,1.2786,1.2786,1.2803,1.2863,1.3155,1.2802,1.252,36.275,36.1926,36.0557,37.6301,38.6867,35.9132,36.2405,0.5408,0.5411,0.5566,0.7418,0.6153,0.5292,0.4779
a_bicycle_on_the_left_of_a_bird,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,1.8507,1.8491,2.0156,1.7973,1.7574,2.0263,1.9202,1.2919,1.2912,1.2946,1.1828,1.3771,1.3041,1.2529,38.633,38.8087,38.7681,37.0876,36.8681,38.5284,39.4389,0.6945,0.6945,0.6981,0.6832,0.9377,0.794,0.6468
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1.8435,1.8478,1.7845,1.7659,2.0348,1.9881,1.8157,1.3419,1.3418,1.3498,1.4784,1.4682,1.3004,1.2928,42.1505,42.0682,41.8495,40.0739,38.3445,42.488,42.4924,0.8512,0.8509,0.8818,0.83,0.9046,0.8018,0.8078
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,2.0877,2.081,2.1012,1.9781,2.0993,2.287,2.2235,1.8257,1.8252,1.8304,1.8751,1.9094,1.8916,1.7634,37.4726,37.4392,37.8875,36.9118,38.9118,35.9383,36.603,0.9328,0.9327,0.9212,0.9326,0.956,0.9283,0.878
a_blue_dog_and_a_brown_horse,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,2.3075,2.3006,2.2793,2.3574,2.3534,2.2703,2.2745,1.71,1.7099,1.7287,1.6622,1.8021,1.733,1.6498,39.8807,39.8825,39.2224,40.1025,40.0037,40.5515,40.9195,0.92,0.9202,0.9111,0.9322,0.9453,0.9156,0.9099
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.8207,1.824,1.8539,2.0466,1.9861,1.75,1.7874,1.6964,1.6965,1.7027,1.7133,1.7981,1.6505,1.6392,29.1234,29.2407,29.4313,31.1097,26.3681,28.9142,30.3107,0.9731,0.973,0.973,0.922,0.9653,0.955,0.959
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,2.2439,2.2694,2.3047,2.1248,2.3808,2.2256,1.9875,1.371,1.3704,1.3693,1.2804,1.3818,1.366,1.3089,37.5731,37.5543,36.0205,39.0471,35.1221,34.9788,35.7086,0.6537,0.6528,0.6437,0.5798,0.7913,0.6584,0.5887
a_brown_bench_and_a_green_dog,a_brown_bench_and_a_green_dog,a brown bench and a green dog,1.9632,1.95,1.8652,2.2043,2.0438,1.9684,1.8936,1.5978,1.5955,1.592,1.6673,1.8198,1.6641,1.5472,39.0927,38.7289,39.5047,39.4932,38.8755,40.5474,39.0511,0.9018,0.9008,0.8966,0.8875,0.9533,0.9138,0.8798
a_brown_car_and_a_red_clock,a_brown_car_and_a_red_clock,a brown car and a red clock,1.8208,1.7999,1.7796,2.0495,1.9797,1.9051,1.8225,1.7316,1.7315,1.7144,1.7566,1.8282,1.7253,1.6531,41.8823,41.654,41.1417,36.8165,40.5142,41.6996,42.2515,0.9386,0.9386,0.9347,0.8998,0.9557,0.9149,0.9152
