prompt_key,prompt_folder,prompt_text,our_value,best_value,best_method,gap_to_best,one_minus_ms_ssim__base,one_minus_ms_ssim__ourmethod,one_minus_ms_ssim__cads,one_minus_ms_ssim__pg,one_minus_ms_ssim__dpp,one_minus_ms_ssim__mix,one_minus_ms_ssim__apg
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,0.6084,0.8227,dpp,0.21429999999999993,0.6876,0.6084,0.6932,0.6806,0.8227,0.7363,0.6878
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,0.5292,0.7418,dpp,0.2126,0.5411,0.5292,0.5566,0.4779,0.7418,0.6153,0.5408
the_red_mug_was_on_top_of_the_green_coaster,The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,0.6729,0.8452,dpp,0.1722999999999999,0.6696,0.6729,0.6744,0.64,0.8452,0.7742,0.6699
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,0.767,0.9295,dpp,0.16249999999999998,0.7374,0.767,0.7349,0.6944,0.9295,0.8688,0.7378
the_green_plant_was_on_top_of_the_brown_nightstand,The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,0.7376,0.8823,mix,0.14469999999999994,0.6869,0.7376,0.6962,0.6313,0.6155,0.8823,0.6872
a_bicycle_on_the_left_of_a_bird,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,0.794,0.9377,mix,0.14369999999999994,0.6945,0.794,0.6981,0.6468,0.6832,0.9377,0.6945
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,0.6786,0.8126,mix,0.134,0.689,0.6786,0.6576,0.6671,0.748,0.8126,0.688
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,0.6584,0.7913,mix,0.13290000000000002,0.6528,0.6584,0.6437,0.5887,0.5798,0.7913,0.6537
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,0.7863,0.9054,mix,0.11909999999999998,0.7461,0.7863,0.7443,0.7027,0.7436,0.9054,0.7447
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,0.6085,0.7207,mix,0.11219999999999997,0.6976,0.6085,0.6369,0.6888,0.6187,0.7207,0.6979
the_red_apple_was_on_top_of_the_black_plate,The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,0.6939,0.8018,dpp,0.1079,0.668,0.6939,0.6699,0.6424,0.8018,0.7779,0.668
