prompt_key,prompt_folder,prompt_text,our_value,avg_other,gap_to_avg_other,one_minus_ms_ssim__base,one_minus_ms_ssim__ourmethod,one_minus_ms_ssim__cads,one_minus_ms_ssim__pg,one_minus_ms_ssim__dpp,one_minus_ms_ssim__mix,one_minus_ms_ssim__apg
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,0.6084,0.7180333333333334,0.10963333333333336,0.6876,0.6084,0.6932,0.6806,0.8227,0.7363,0.6878
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,0.6085,0.6767666666666666,0.06826666666666659,0.6976,0.6085,0.6369,0.6888,0.6187,0.7207,0.6979
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,0.8018,0.8543833333333334,0.052583333333333426,0.8509,0.8018,0.8818,0.8078,0.83,0.9046,0.8512
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,0.5292,0.5789166666666666,0.04971666666666663,0.5411,0.5292,0.5566,0.4779,0.7418,0.6153,0.5408
the_rectangular_painting_was_hung_above_the_silver_couch,The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,0.7017,0.7439999999999999,0.04229999999999989,0.7464,0.7017,0.7345,0.696,0.7543,0.7941,0.7387
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,0.8587,0.9006499999999998,0.04194999999999982,0.909,0.8587,0.9092,0.9015,0.8299,0.9453,0.909
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,0.8566,0.8983666666666665,0.04176666666666651,0.9117,0.8566,0.9104,0.9135,0.8024,0.9409,0.9113
the_red_mug_was_on_top_of_the_green_coaster,The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,0.6729,0.7122166666666666,0.039316666666666555,0.6696,0.6729,0.6744,0.64,0.8452,0.7742,0.6699
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,0.8496,0.88735,0.03774999999999995,0.8961,0.8496,0.9197,0.8583,0.8509,0.904,0.8951
the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,0.8845,0.9207,0.03620000000000001,0.9234,0.8845,0.9228,0.9234,0.8732,0.9571,0.9243
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,0.8487,0.8812166666666666,0.03251666666666664,0.8596,0.8487,0.8513,0.8368,0.9516,0.9287,0.8593
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,0.6786,0.7103833333333333,0.031783333333333275,0.689,0.6786,0.6576,0.6671,0.748,0.8126,0.688
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,0.8894,0.9202,0.03080000000000005,0.9173,0.8894,0.9112,0.8898,0.9142,0.9715,0.9172
a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,0.8758,0.9065166666666666,0.030716666666666614,0.914,0.8758,0.9143,0.8759,0.9113,0.9086,0.915
a_bag_on_the_right_of_a_butterfly,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,0.8712,0.9013999999999999,0.030199999999999894,0.8992,0.8712,0.8918,0.8765,0.8876,0.9542,0.8991
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,0.8371,0.86185,0.02475000000000005,0.8393,0.8371,0.8131,0.8302,0.9333,0.9167,0.8385
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,0.8742,0.8976666666666667,0.023466666666666747,0.8907,0.8742,0.8933,0.8592,0.914,0.9382,0.8906
a_giraffe_on_the_left_of_a_lamp,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,0.8393,0.8619833333333333,0.022683333333333278,0.8682,0.8393,0.8914,0.8511,0.8627,0.8305,0.868
a_red_car_and_a_brown_clock,a_red_car_and_a_brown_clock,a red car and a brown clock,0.8974,0.9200666666666666,0.022666666666666613,0.9202,0.8974,0.9128,0.9197,0.8816,0.9664,0.9197
a_fish_on_the_left_of_a_microwave,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,0.8927,0.9138666666666667,0.021166666666666667,0.9224,0.8927,0.927,0.8963,0.8906,0.9239,0.923
a_wallet_on_the_right_of_a_bee,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,0.8419,0.8611166666666666,0.01921666666666666,0.8552,0.8419,0.8405,0.8009,0.8786,0.9366,0.8549
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,0.767,0.7837999999999999,0.016799999999999926,0.7374,0.767,0.7349,0.6944,0.9295,0.8688,0.7378
a_brown_car_and_a_red_clock,a_brown_car_and_a_red_clock,a brown car and a red clock,0.9149,0.9304333333333333,0.015533333333333288,0.9386,0.9149,0.9347,0.9152,0.8998,0.9557,0.9386
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,0.9265,0.9420166666666666,0.015516666666666623,0.9357,0.9265,0.9317,0.9291,0.9435,0.9764,0.9357
a_cat_on_the_bottom_of_a_car,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,0.9024,0.9154666666666667,0.013066666666666671,0.9096,0.9024,0.9085,0.8738,0.9332,0.9578,0.9099
