prompt_key,prompt_folder,prompt_text,one_minus_ms_ssim__base,ourmethod_value,one_minus_ms_ssim__cads,one_minus_ms_ssim__pg,one_minus_ms_ssim__dpp,one_minus_ms_ssim__mix,one_minus_ms_ssim__apg
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,0.5411,0.5292,0.5566,0.4779,0.7418,0.6153,0.5408
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,0.6876,0.6084,0.6932,0.6806,0.8227,0.7363,0.6878
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,0.6976,0.6085,0.6369,0.6888,0.6187,0.7207,0.6979
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,0.6528,0.6584,0.6437,0.5887,0.5798,0.7913,0.6537
the_red_mug_was_on_top_of_the_green_coaster,The_red_mug_was_on_top_of_the_green_coaster,The red mug was on top of the green coaster,0.6696,0.6729,0.6744,0.64,0.8452,0.7742,0.6699
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,0.689,0.6786,0.6576,0.6671,0.748,0.8126,0.688
the_red_apple_was_on_top_of_the_black_plate,The_red_apple_was_on_top_of_the_black_plate,The red apple was on top of the black plate,0.668,0.6939,0.6699,0.6424,0.8018,0.7779,0.668
the_rectangular_painting_was_hung_above_the_silver_couch,The_rectangular_painting_was_hung_above_the_silver_couch,The rectangular painting was hung above the silver couch,0.7464,0.7017,0.7345,0.696,0.7543,0.7941,0.7387
the_green_plant_was_on_top_of_the_brown_nightstand,The_green_plant_was_on_top_of_the_brown_nightstand,The green plant was on top of the brown nightstand,0.6869,0.7376,0.6962,0.6313,0.6155,0.8823,0.6872
the_red_apple_was_on_top_of_the_white_plate,The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate,0.6748,0.7426,0.6902,0.6452,0.692,0.7646,0.6743
the_rectangular_mirror_was_hung_above_the_black_sink,The_rectangular_mirror_was_hung_above_the_black_sink,The rectangular mirror was hung above the black sink,0.7636,0.7644,0.7666,0.7244,0.7789,0.8569,0.761
a_computer_on_the_top_of_a_sheep,a_computer_on_the_top_of_a_sheep,a computer on the top of a sheep,0.7374,0.767,0.7349,0.6944,0.9295,0.8688,0.7378
a_cow_near_a_balloon,a_cow_near_a_balloon,a cow near a balloon,0.7461,0.7863,0.7443,0.7027,0.7436,0.9054,0.7447
a_bicycle_on_the_left_of_a_bird,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,0.6945,0.794,0.6981,0.6468,0.6832,0.9377,0.6945
the_green_plant_was_on_top_of_the_white_dresser,The_green_plant_was_on_top_of_the_white_dresser,The green plant was on top of the white dresser,0.7788,0.7943,0.7771,0.7325,0.7852,0.8497,0.7754
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,0.8509,0.8018,0.8818,0.8078,0.83,0.9046,0.8512
the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,0.7888,0.8075,0.7889,0.7544,0.792,0.8722,0.7889
the_red_hat_was_on_top_of_the_white_coat,The_red_hat_was_on_top_of_the_white_coat,The red hat was on top of the white coat,0.8255,0.8216,0.8149,0.7804,0.8476,0.8979,0.8251
a_dog_on_the_top_of_a_suitcase,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,0.8526,0.8332,0.8486,0.8329,0.7659,0.9084,0.8519
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,0.8393,0.8371,0.8131,0.8302,0.9333,0.9167,0.8385
a_giraffe_on_the_left_of_a_lamp,a_giraffe_on_the_left_of_a_lamp,a giraffe on the left of a lamp,0.8682,0.8393,0.8914,0.8511,0.8627,0.8305,0.868
a_wallet_on_the_right_of_a_bee,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,0.8552,0.8419,0.8405,0.8009,0.8786,0.9366,0.8549
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,0.8211,0.8449,0.8256,0.7991,0.8414,0.8703,0.8219
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,0.8088,0.8456,0.8027,0.7826,0.8858,0.9092,0.8086
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,0.8596,0.8487,0.8513,0.8368,0.9516,0.9287,0.8593
a_pig_on_side_of_a_wallet,a_pig_on_side_of_a_wallet,a pig on side of a wallet,0.8343,0.8491,0.8331,0.8343,0.8647,0.9091,0.8289
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,0.8961,0.8496,0.9197,0.8583,0.8509,0.904,0.8951
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,0.9117,0.8566,0.9104,0.9135,0.8024,0.9409,0.9113
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,0.8237,0.8584,0.8206,0.7525,0.8859,0.8584,0.8248
a_rabbit_on_the_top_of_a_book,a_rabbit_on_the_top_of_a_book,a rabbit on the top of a book,0.909,0.8587,0.9092,0.9015,0.8299,0.9453,0.909
