prompt_folder,prompt_text,vendi_inception,vendi_pixel,clip_score,one_minus_ms_ssim,method,prompt_folder_norm,prompt_text_norm,prompt_key
a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,2.5635,1.8992,39.811,0.8577,base,a_airplane_on_the_left_of_a_turtle,a airplane on the left of a turtle,a_airplane_on_the_left_of_a_turtle
a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,3.0091,2.3645,40.4388,0.9102,base,a_backpack_on_the_right_of_a_bird,a backpack on the right of a bird,a_backpack_on_the_right_of_a_bird
a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,3.3712,1.9368,34.4238,0.9192,base,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,a_bag_on_the_bottom_of_a_chicken
a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,3.8032,1.7286,35.6089,0.9106,base,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,a_bag_on_the_right_of_a_butterfly
a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,2.3632,1.4634,42.1289,0.6125,base,a_balloon_on_the_top_of_a_giraffe,a balloon on the top of a giraffe,a_balloon_on_the_top_of_a_giraffe
a_bee_on_the_left_of_a_girl,a bee on the left of a girl,2.6209,1.9462,34.9292,0.8951,base,a_bee_on_the_left_of_a_girl,a bee on the left of a girl,a_bee_on_the_left_of_a_girl
a_bee_on_the_left_of_a_phone,a bee on the left of a phone,2.167,2.1291,36.9422,0.8225,base,a_bee_on_the_left_of_a_phone,a bee on the left of a phone,a_bee_on_the_left_of_a_phone
a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,2.3565,1.7132,36.3603,0.8028,base,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,a_bee_on_the_top_of_a_airplane
a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,2.8784,1.5443,35.1768,0.8507,base,a_bicycle_on_the_left_of_a_bird,a bicycle on the left of a bird,a_bicycle_on_the_left_of_a_bird
a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,2.556,1.9767,32.3244,0.8715,base,a_bicycle_on_the_left_of_a_girl,a bicycle on the left of a girl,a_bicycle_on_the_left_of_a_girl
a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,2.865,1.5366,42.0405,0.8475,base,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,a_bicycle_on_the_top_of_a_chicken
a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,2.7326,2.5128,38.8031,0.879,base,a_bird_on_the_bottom_of_a_suitcase,a bird on the bottom of a suitcase,a_bird_on_the_bottom_of_a_suitcase
a_bowl_on_the_left_of_a_man,a bowl on the left of a man,4.002,2.6534,30.5223,0.9115,base,a_bowl_on_the_left_of_a_man,a bowl on the left of a man,a_bowl_on_the_left_of_a_man
a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,3.2932,2.1788,32.1066,0.9166,base,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,a_bowl_on_the_right_of_a_chicken
a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,3.4778,1.8954,39.3719,0.7221,base,a_boy_on_the_bottom_of_a_lamp,a boy on the bottom of a lamp,a_boy_on_the_bottom_of_a_lamp
a_boy_on_the_top_of_a_bag,a boy on the top of a bag,3.6245,1.5378,38.2781,0.5871,base,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,a_boy_on_the_top_of_a_bag
a_car_on_the_top_of_a_turtle,a car on the top of a turtle,2.8386,1.9672,36.0153,0.8362,base,a_car_on_the_top_of_a_turtle,a car on the top of a turtle,a_car_on_the_top_of_a_turtle
a_cat_near_a_table,a cat near a table,2.5376,2.5312,33.2608,0.9104,base,a_cat_near_a_table,a cat near a table,a_cat_near_a_table
a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,2.5173,3.6806,35.7629,0.8838,base,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,a_cat_on_the_bottom_of_a_car
a_chicken_near_a_desk,a chicken near a desk,2.1296,3.1277,39.2418,0.9454,base,a_chicken_near_a_desk,a chicken near a desk,a_chicken_near_a_desk
a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,2.4222,3.0001,38.4518,0.9192,base,a_chicken_on_the_bottom_of_a_desk,a chicken on the bottom of a desk,a_chicken_on_the_bottom_of_a_desk
a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,2.8573,1.5821,39.74,0.6271,base,a_chicken_on_the_top_of_a_balloon,a chicken on the top of a balloon,a_chicken_on_the_top_of_a_balloon
a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,2.4668,1.7919,41.9088,0.864,base,a_chicken_on_the_top_of_a_bicycle,a chicken on the top of a bicycle,a_chicken_on_the_top_of_a_bicycle
a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,3.6174,2.8602,35.8544,0.9357,base,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,a_computer_on_the_bottom_of_a_horse
a_computer_on_the_left_of_a_pig,a computer on the left of a pig,2.6562,2.8381,38.6128,0.935,base,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,a_computer_on_the_left_of_a_pig
