method,concept,folder,prompt_raw,prompt,seed,guidance,steps,n_images,abs_dir
dpp,truck,a_close-up_photo_of_a_truck_seed1111_g3.0_s30,a_close-up_photo_of_a_truck,a_close-up_photo_of_a_truck,1111,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_close-up_photo_of_a_truck_seed1111_g3.0_s30
dpp,truck,a_close-up_photo_of_a_truck_seed2222_g3.0_s30,a_close-up_photo_of_a_truck,a_close-up_photo_of_a_truck,2222,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_close-up_photo_of_a_truck_seed2222_g3.0_s30
dpp,truck,a_close-up_photo_of_a_truck_seed3333_g3.0_s30,a_close-up_photo_of_a_truck,a_close-up_photo_of_a_truck,3333,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_close-up_photo_of_a_truck_seed3333_g3.0_s30
dpp,truck,a_close-up_photo_of_a_truck_seed4444_g3.0_s30,a_close-up_photo_of_a_truck,a_close-up_photo_of_a_truck,4444,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_close-up_photo_of_a_truck_seed4444_g3.0_s30
dpp,truck,a_cropped_photo_of_a_truck_seed1111_g3.0_s30,a_cropped_photo_of_a_truck,a_cropped_photo_of_a_truck,1111,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_cropped_photo_of_a_truck_seed1111_g3.0_s30
dpp,truck,a_cropped_photo_of_a_truck_seed2222_g3.0_s30,a_cropped_photo_of_a_truck,a_cropped_photo_of_a_truck,2222,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_cropped_photo_of_a_truck_seed2222_g3.0_s30
dpp,truck,a_cropped_photo_of_a_truck_seed3333_g3.0_s30,a_cropped_photo_of_a_truck,a_cropped_photo_of_a_truck,3333,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_cropped_photo_of_a_truck_seed3333_g3.0_s30
dpp,truck,a_cropped_photo_of_a_truck_seed4444_g3.0_s30,a_cropped_photo_of_a_truck,a_cropped_photo_of_a_truck,4444,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_cropped_photo_of_a_truck_seed4444_g3.0_s30
dpp,truck,a_photo_of_a_truck_seed1111_g3.0_s30,a_photo_of_a_truck,a_photo_of_a_truck,1111,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_photo_of_a_truck_seed1111_g3.0_s30
dpp,truck,a_photo_of_a_truck_seed2222_g3.0_s30,a_photo_of_a_truck,a_photo_of_a_truck,2222,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_photo_of_a_truck_seed2222_g3.0_s30
dpp,truck,a_photo_of_a_truck_seed3333_g3.0_s30,a_photo_of_a_truck,a_photo_of_a_truck,3333,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_photo_of_a_truck_seed3333_g3.0_s30
dpp,truck,a_photo_of_a_truck_seed4444_g3.0_s30,a_photo_of_a_truck,a_photo_of_a_truck,4444,3.0,30,24,/mnt/data6t/yyz/flow_grpo/flow_base/outputs/dpp_truck/imgs/a_photo_of_a_truck_seed4444_g3.0_s30
