method,concept,guidance,num_images_mean,num_images_std,vendi_pixel_mean,vendi_pixel_std,vendi_inception_mean,vendi_inception_std,fid_mean,fid_std,fid_clean_mean,fid_clean_std,clip_score_mean,clip_score_std,one_minus_ms_ssim_mean,one_minus_ms_ssim_std,brisque_mean,brisque_std
dpp,truck,3.0,64.0,0.0,2.4405902846399417,0.08775318012487104,4.035160630941391,0.3248390426549568,125.31055205143528,0.9375180852371807,,,26.2342529296875,0.539248211385811,0.8319892365811392,0.02527399721931132,18.36410665512085,0.7610623818849254
dpp,truck,5.0,64.0,0.0,2.2306045619011714,0.08056427581313419,3.4381673336029053,0.2293774927378785,124.7836012553293,0.7644247981791993,,,25.9371337890625,0.3760009984159699,0.8105019272491336,0.018621003058064477,23.94172716140747,1.521865761547926
dpp,truck,7.5,64.0,0.0,2.153722039182278,0.045801974301606235,3.130510002374649,0.08808338391804138,124.39820853018611,0.6209133623538817,,,25.8087158203125,0.3380840324441998,0.8013521525566466,0.017551444471862198,32.459144115448,1.6662035948556657
pg,truck,3.0,64.0,0.0,2.4335086743027343,0.16279005861587717,4.533572554588318,0.3300417048855706,128.8031269622304,2.0645854717681864,,,26.481536865234375,0.25019045582891586,0.8380114308814518,0.01953700580928895,38.29957985877991,4.519022114613814
pg,truck,5.0,64.0,0.0,2.3092604518943096,0.12375289839309485,4.059127122163773,0.2945988292955651,127.49901911658455,1.2292026475378048,,,26.04754638671875,0.14775316340688635,0.8308897056721617,0.025323319932774896,35.912707567214966,6.388493950710564
pg,truck,7.5,64.0,0.0,2.2462549079404,0.09015198587111607,3.8279255628585815,0.37886015215154567,127.08180561838276,0.9615499887415084,,,26.111785888671875,0.17576228145403802,0.8115923360013403,0.0334889614895016,41.57549160718918,7.242788929369731
cads,truck,3.0,64.0,0.0,2.6552873743844145,0.08271256636369333,4.529269635677338,0.5228491226608991,128.11433742073,1.073243754705924,,,26.177581787109375,0.37082440776681713,0.8732599297002889,0.02633790877179134,20.453212022781372,1.2425954159349457
cads,truck,5.0,64.0,0.0,2.486022506758325,0.10227659576462002,4.010098606348038,0.3819917787963324,127.04605346138487,1.046373545592081,,,25.925872802734375,0.1602643508808416,0.8521906302857678,0.02190808291394782,23.070033192634583,1.677987001666749
cads,truck,7.5,64.0,0.0,2.353314951338239,0.08940459318782319,3.804808586835861,0.3087023355191269,126.74465044832169,0.9675685975473408,,,26.108642578125,0.122283783769457,0.8384152367408387,0.015540644489390862,29.834049105644226,3.416269913135507
ourmethod,truck,3.0,64.0,0.0,2.606968432938082,0.17319086159464409,4.272246479988098,0.374743197898726,126.1848998495746,0.853888989740214,,,26.502593994140625,0.37284559042270765,0.8232213482947555,0.02947601930431443,19.045527458190918,1.7637569136451712
ourmethod,truck,5.0,64.0,0.0,2.341088915685451,0.09576798774905473,3.7040012776851654,0.20459510261831426,125.53502649129595,0.5828016230901799,,,26.154937744140625,0.3085078124954728,0.815798680683365,0.023933957906070183,22.715790271759033,1.9827034701417992
ourmethod,truck,7.5,64.0,0.0,2.264204468974662,0.0889883499876202,3.5780079066753387,0.1827794358174272,125.12646497731039,0.36376548723434227,,,26.04638671875,0.27980055537200427,0.806479691977147,0.026174687240576124,29.054327726364136,1.8779074357348535
