method,concept,guidance,k,entropy_mean,entropy_std
cads,bus,3.0,10,0.3222807485288922,0.0859156105265464
cads,bus,5.0,10,0.22446675846758848,0.09219899183250535
cads,bus,7.5,10,0.1866381473906063,0.08395778978118561
dpp,bus,3.0,10,0.3020430119461088,0.08211439775177864
dpp,bus,5.0,10,0.2533637455186144,0.0558144940712838
dpp,bus,7.5,10,0.22676274458508594,0.051021004249286774
ourmethod,bus,3.0,10,0.382333876513188,0.055115995325752204
ourmethod,bus,5.0,10,0.26399015235655987,0.08325033427177705
ourmethod,bus,7.5,10,0.2433665179440519,0.06432426105751515
pg,bus,3.0,10,0.30676460339565603,0.09652876800983703
pg,bus,5.0,10,0.21170652087989725,0.09057652904322018
pg,bus,7.5,10,0.18948150649693482,0.09962255639102319
