method,concept,folder,prompt,seed,guidance,steps,num_images,vendi_pixel,vendi_inception,fid,fid_clean,clip_score,one_minus_ms_ssim,brisque
cads,truck,a_close-up_photo_of_a_truck_seed1111_g3.0_s30,a close-up photo of a truck,1111,3.0,30,64,3.8014933677952443,6.0725626945495605,132.0106459784363,,27.755859375,0.8759927238896489,27.460370540618896
cads,truck,a_close-up_photo_of_a_truck_seed1111_g5.0_s30,a close-up photo of a truck,1111,5.0,30,64,4.027656247390565,5.313086986541748,129.5050623602323,,27.42919921875,0.880669452091679,30.561049938201904
cads,truck,a_close-up_photo_of_a_truck_seed1111_g7.5_s30,a close-up photo of a truck,1111,7.5,30,64,4.199255338916914,4.98841667175293,129.99335028669978,,27.574462890625,0.8954303612560034,37.89568066596985
cads,truck,a_close-up_photo_of_a_truck_seed2222_g3.0_s30,a close-up photo of a truck,2222,3.0,30,64,3.654378475314476,5.832269191741943,130.17281501617902,,27.7021484375,0.9128674157336354,27.649609446525574
cads,truck,a_close-up_photo_of_a_truck_seed2222_g5.0_s30,a close-up photo of a truck,2222,5.0,30,64,3.8535394382788675,5.059389114379883,128.85166720460649,,27.4091796875,0.9280897572264075,28.655186653137207
cads,truck,a_close-up_photo_of_a_truck_seed2222_g7.5_s30,a close-up photo of a truck,2222,7.5,30,64,3.8921017073982633,4.552283763885498,128.5275626340632,,27.323974609375,0.91960767111741,37.0306921005249
cads,truck,a_close-up_photo_of_a_truck_seed3333_g3.0_s30,a close-up photo of a truck,3333,3.0,30,64,3.8007875406110316,6.074794292449951,131.23783391289362,,27.75,0.9236441290378571,25.580893516540527
cads,truck,a_close-up_photo_of_a_truck_seed3333_g5.0_s30,a close-up photo of a truck,3333,5.0,30,64,3.9027502514883023,5.448123455047607,131.51556245356142,,27.63818359375,0.9287704896181822,29.833473205566406
cads,truck,a_close-up_photo_of_a_truck_seed3333_g7.5_s30,a close-up photo of a truck,3333,7.5,30,64,4.058284217903689,4.842679500579834,130.26948251126333,,27.554443359375,0.9178391404822469,35.89087200164795
cads,truck,a_close-up_photo_of_a_truck_seed4444_g3.0_s30,a close-up photo of a truck,4444,3.0,30,64,3.5687026942405096,5.357925891876221,129.17087945059376,,27.8076171875,0.9175542658753693,27.233057022094727
cads,truck,a_close-up_photo_of_a_truck_seed4444_g5.0_s30,a close-up photo of a truck,4444,5.0,30,64,3.657992474621962,4.641343593597412,127.75867024686417,,27.530517578125,0.9345296409446746,30.35604763031006
cads,truck,a_close-up_photo_of_a_truck_seed4444_g7.5_s30,a close-up photo of a truck,4444,7.5,30,64,3.890223042612619,4.683375835418701,128.71968529458948,,27.52587890625,0.9390833070129156,39.46933174133301
cads,truck,a_cropped_photo_of_a_truck_seed1111_g3.0_s30,a cropped photo of a truck,1111,3.0,30,64,2.9050770271370503,4.6400275230407715,129.12588644183995,,27.175048828125,0.8844046730734407,21.590717315673828
cads,truck,a_cropped_photo_of_a_truck_seed1111_g5.0_s30,a cropped photo of a truck,1111,5.0,30,64,2.758727275984424,4.334782600402832,127.06361538400326,,26.591796875,0.8735283757187426,24.4346981048584
cads,truck,a_cropped_photo_of_a_truck_seed1111_g7.5_s30,a cropped photo of a truck,1111,7.5,30,64,2.583098615455745,4.290761470794678,128.33446447893363,,26.594970703125,0.8735777174495161,29.783823013305664
cads,truck,a_cropped_photo_of_a_truck_seed2222_g3.0_s30,a cropped photo of a truck,2222,3.0,30,64,2.839190006894083,4.42214298248291,127.05716401221953,,27.1904296875,0.8866038515605033,16.690805435180664
cads,truck,a_cropped_photo_of_a_truck_seed2222_g5.0_s30,a cropped photo of a truck,2222,5.0,30,64,2.7496114276196186,3.9875640869140625,126.12926118604241,,26.472412109375,0.8805311574600637,20.5438232421875
cads,truck,a_cropped_photo_of_a_truck_seed2222_g7.5_s30,a cropped photo of a truck,2222,7.5,30,64,2.540883707925942,3.9647481441497803,127.29737743653256,,26.7451171875,0.8673402101546526,27.95875608921051
cads,truck,a_cropped_photo_of_a_truck_seed3333_g3.0_s30,a cropped photo of a truck,3333,3.0,30,64,2.739898600177827,5.101428985595703,128.9212912814894,,27.314208984375,0.9140470883343369,19.934558868408203
cads,truck,a_cropped_photo_of_a_truck_seed3333_g5.0_s30,a cropped photo of a truck,3333,5.0,30,64,2.574114910854117,4.302889347076416,128.31652266375022,,26.60302734375,0.8874120642058552,22.447959899902344
cads,truck,a_cropped_photo_of_a_truck_seed3333_g7.5_s30,a cropped photo of a truck,3333,7.5,30,64,2.479782462016558,3.9925119876861572,126.90081246213623,,26.43017578125,0.870756209557876,27.220565795898438
cads,truck,a_cropped_photo_of_a_truck_seed4444_g3.0_s30,a cropped photo of a truck,4444,3.0,30,64,2.659960679694047,4.708676815032959,130.083236653703,,27.08935546875,0.9228015330340713,19.775821685791016
cads,truck,a_cropped_photo_of_a_truck_seed4444_g5.0_s30,a cropped photo of a truck,4444,5.0,30,64,2.5536135550518044,4.217069625854492,129.04741485097867,,26.631103515625,0.9025256901280955,21.796634674072266
cads,truck,a_cropped_photo_of_a_truck_seed4444_g7.5_s30,a cropped photo of a truck,4444,7.5,30,64,2.453776072791007,4.311600685119629,130.1561000710472,,26.50146484375,0.8977022088132799,25.63945770263672
cads,truck,a_photo_of_a_truck_seed1111_g3.0_s30,a photo of a truck,1111,3.0,30,64,2.7521096651898085,4.274827003479004,127.54618634425283,,26.374755859375,0.8667830959893763,20.9969482421875
cads,truck,a_photo_of_a_truck_seed1111_g5.0_s30,a photo of a truck,1111,5.0,30,64,2.6064477341570025,3.8766238689422607,127.19726554816822,,26.0107421875,0.8549768630415201,24.221914291381836
cads,truck,a_photo_of_a_truck_seed1111_g7.5_s30,a photo of a truck,1111,7.5,30,64,2.462953687614523,3.6571078300476074,125.76404683838028,,26.119873046875,0.8460438348352909,28.197404861450195
cads,truck,a_photo_of_a_truck_seed2222_g3.0_s30,a photo of a truck,2222,3.0,30,64,2.6791472216994663,3.68204927444458,126.30935999502279,,26.552978515625,0.8705858361162245,18.175613403320312
cads,truck,a_photo_of_a_truck_seed2222_g5.0_s30,a photo of a truck,2222,5.0,30,64,2.5425615649240605,3.6283750534057617,125.42720652248882,,26.103515625,0.8492329360358417,21.483287811279297
cads,truck,a_photo_of_a_truck_seed2222_g7.5_s30,a photo of a truck,2222,7.5,30,64,2.4171223089135627,3.5398154258728027,127.19291222051835,,26.04736328125,0.8454931356012821,26.859323501586914
cads,truck,a_photo_of_a_truck_seed3333_g3.0_s30,a photo of a truck,3333,3.0,30,64,2.5480428588521638,4.402715682983398,128.2358456359069,,26.609130859375,0.8921092278324068,19.189899444580078
cads,truck,a_photo_of_a_truck_seed3333_g5.0_s30,a photo of a truck,3333,5.0,30,64,2.389774170307079,3.7102694511413574,126.57161684714367,,26.044677734375,0.8669937003776431,21.144786834716797
cads,truck,a_photo_of_a_truck_seed3333_g7.5_s30,a photo of a truck,3333,7.5,30,64,2.2558868933482747,3.490069627761841,125.42052410336001,,26.134033203125,0.8391090578958392,26.33966064453125
cads,truck,a_photo_of_a_truck_seed4444_g3.0_s30,a photo of a truck,4444,3.0,30,64,2.6103496692455184,4.14975118637085,127.6123862262879,,26.526611328125,0.9112771467678249,20.653377532958984
cads,truck,a_photo_of_a_truck_seed4444_g5.0_s30,a photo of a truck,4444,5.0,30,64,2.4575932852917384,3.487947940826416,126.03819281599006,,26.089111328125,0.880364286089316,21.877586364746094
cads,truck,a_photo_of_a_truck_seed4444_g7.5_s30,a photo of a truck,4444,7.5,30,64,2.3205158032371824,3.4094533920288086,126.26982568954212,,25.961669921875,0.8546660192497074,26.290992736816406
cads,truck,a_photo_of_one_truck_seed1111_g3.0_s30,a photo of one truck,1111,3.0,30,64,2.540494511054367,4.370387077331543,125.91926625002735,,27.01953125,0.8531872923113406,22.917001724243164
cads,truck,a_photo_of_one_truck_seed1111_g5.0_s30,a photo of one truck,1111,5.0,30,64,2.4482894697647866,4.166088581085205,126.38062255020898,,26.548095703125,0.8410967283323407,23.273658752441406
cads,truck,a_photo_of_one_truck_seed1111_g7.5_s30,a photo of one truck,1111,7.5,30,64,2.324474437331505,3.9005351066589355,125.82751953721409,,26.45361328125,0.8262978648394346,25.252788543701172
