method,concept,folder,prompt,seed,guidance,steps,num_images,vendi_pixel,vendi_inception,fid,fid_clean,kid_mean,kid_std,clip_score,one_minus_ms_ssim,brisque
pg,truck,a_close-up_photo_of_a_truck_seed1111_g3.0_s30,a close-up photo of a truck,1111,3.0,30,64,3.393006103835376,5.675989627838135,147.00787926553232,,-0.0025562707778539638,0.0004068601827919502,28.042236328125,0.9125153770763427,35.62297487258911
pg,truck,a_close-up_photo_of_a_truck_seed1111_g5.0_s30,a close-up photo of a truck,1111,5.0,30,64,3.6689921262869873,4.778822898864746,140.32857544938145,,-0.002094131703901292,0.0005049685748776367,27.427978515625,0.9354513520793989,33.32398796081543
pg,truck,a_close-up_photo_of_a_truck_seed1111_g7.5_s30,a close-up photo of a truck,1111,7.5,30,64,3.7780788346038947,4.632615566253662,146.40701014146703,,-0.002205668754894785,0.0005759660985543216,27.37939453125,0.9318376777693629,31.661864519119263
pg,truck,a_close-up_photo_of_a_truck_seed2222_g3.0_s30,a close-up photo of a truck,2222,3.0,30,64,3.125165433512285,5.3666791915893555,144.47311653361533,,-0.0022853382403910994,0.0005455447136526834,27.654296875,0.8865548768872396,41.141822814941406
pg,truck,a_close-up_photo_of_a_truck_seed2222_g5.0_s30,a close-up photo of a truck,2222,5.0,30,64,3.40626034998167,4.827250003814697,142.39518038242053,,-0.0024390104621754504,0.0004671807032854432,27.2607421875,0.9071778979385272,33.86376714706421
pg,truck,a_close-up_photo_of_a_truck_seed2222_g7.5_s30,a close-up photo of a truck,2222,7.5,30,64,3.457319209586198,4.699499607086182,143.57575796431416,,-0.0024255080047790754,0.0004573665581458003,27.3076171875,0.9022768588736654,40.32070970535278
pg,truck,a_close-up_photo_of_a_truck_seed3333_g3.0_s30,a close-up photo of a truck,3333,3.0,30,64,3.6559674719054365,5.587421894073486,143.59226117986026,,-0.0024856860020790795,0.0003999976983606811,27.965087890625,0.894699051482603,33.69572925567627
pg,truck,a_close-up_photo_of_a_truck_seed3333_g5.0_s30,a close-up photo of a truck,3333,5.0,30,64,3.871106698413742,5.2140326499938965,144.16495664119435,,-0.0022359915037275303,0.00045698722653640656,27.732421875,0.9146609136648476,33.8145227432251
pg,truck,a_close-up_photo_of_a_truck_seed3333_g7.5_s30,a close-up photo of a truck,3333,7.5,30,64,3.9077729937539294,4.82997989654541,143.47525085893324,,-0.0022388964928290677,0.0006615336366176079,27.598388671875,0.9218679077131674,37.659268856048584
pg,truck,a_close-up_photo_of_a_truck_seed4444_g3.0_s30,a close-up photo of a truck,4444,3.0,30,64,3.1559975693877504,5.4942145347595215,138.9859185949896,,-0.0023265773226333053,0.0007027517355633762,27.6357421875,0.8778956342302263,27.355029106140137
pg,truck,a_close-up_photo_of_a_truck_seed4444_g5.0_s30,a close-up photo of a truck,4444,5.0,30,64,3.274477208538256,4.843555927276611,140.41219859569082,,-0.002141940008110255,0.00048792185309803426,27.383056640625,0.9084801187645644,35.71401309967041
pg,truck,a_close-up_photo_of_a_truck_seed4444_g7.5_s30,a close-up photo of a truck,4444,7.5,30,64,3.4231310997042566,4.538177967071533,141.07675741587838,,-0.0022618476069314218,0.0004801242877343399,27.536376953125,0.9079767705267295,33.42991256713867
pg,truck,a_cropped_photo_of_a_truck_seed1111_g3.0_s30,a cropped photo of a truck,1111,3.0,30,64,2.682734456037798,4.460470199584961,142.05948803516165,,-0.0024183554350610146,0.0004565397310652344,27.677490234375,0.9020025344192981,42.603458404541016
